,Date,MXWO_Last Price,MXWO_Volume,MXWO_SMAVG (15),SPG1200_Last Price,SPG1200_Volume,SPG1200_SMAVG (15),FTAW01_Last Price,MXEU_Last Price,MXEU_Volume,MXEU_SMAVG (15),MXEF_Last Price,MXEF_Volume,MXEF_SMAVG (15),VIX_Last Price,USGG10YR Index_Last Price,DXY Curncy_Last Price,XLK US Equity_Last Price,XLK US Equity_Volume,XLK US Equity_SMAVG (15),XLY US Equity_Last Price,XLY US Equity_Volume,XLY US Equity_SMAVG (15),XLU US Equity_Last Price,XLU US Equity_Volume,XLU US Equity_SMAVG (15),XLE US Equity_Last Price,XLE US Equity_Volume,XLE US Equity_SMAVG (15),XAU BGN Curncy_Last Price,CO1 Comdty_Last Price,CO1 Comdty_Volume,CO1 Comdty_SMAVG (15),MOODCBAA Index_Last Price,SPX Index - Divident_Dividend 12 Month Yld - Gross,SPX Index - PE_Adjusted Price/Earnings ratio,SPX Index - PB_Adjusted Price/Book ratio
407,2001-07-25 00:00:00,1046.54,3504376064.0,3376663296.0,1214.46,10328320000.0,8757692416.0,159.35,108.0,1853689984.0,1795492352.0,295.72,45070426112.0,57054957568.0,24.0,5.182,116.64,25.86,219500.0,541293.0,28.75,45300.0,73673.0,30.68,82500.0,40047.0,29.58,240500.0,285567.0,267.75,25.25,39402.0,32041.0,7.94,1.3082,22.7674,3.4825
408,2001-07-26 00:00:00,1053.15,3394637056.0,3361204480.0,1223.8,9117138944.0,8694971392.0,160.52,108.9,1746930944.0,1758316032.0,298.64,46266826752.0,58091143168.0,23.01,5.129,116.79,26.35,646900.0,565413.0,28.78,29800.0,73360.0,30.79,8600.0,38700.0,30.18,212900.0,244360.0,266.45,25.14,27233.0,32101.0,7.95,1.2947,23.0053,3.5324
409,2001-07-27 00:00:00,1058.54,3259622912.0,3332332800.0,1230.76,6817572864.0,8567456256.0,161.37,110.98,1707783936.0,1736736256.0,299.95,34258655232.0,57029529600.0,22.0,5.098,116.94,26.31,367600.0,520533.0,28.7,56600.0,71133.0,30.77,34200.0,34353.0,30.32,115800.0,232133.0,267.55,25.19,32075.0,31959.0,7.9,1.2922,23.0607,3.5442
410,2001-07-30 00:00:00,1060.17,2635238912.0,3292701440.0,1231.06,5906401792.0,8671101952.0,161.48,112.17,1480515968.0,1721738624.0,300.77,28249446400.0,56629542912.0,22.69,5.066,117.2,26.23,221600.0,483573.0,28.89,29600.0,68267.0,31.12,24700.0,34613.0,30.35,67000.0,232187.0,265.25,24.96,15990.0,31146.0,7.87,1.2937,23.0358,3.5406
411,2001-07-31 00:00:00,1069.67,3273160960.0,3287293440.0,1241.19,7266822144.0,8616843264.0,162.88,113.4,1771426048.0,1725107456.0,301.67,30574790656.0,55627898880.0,21.62,5.054,117.18,26.22,266000.0,460887.0,28.9,39300.0,67520.0,30.87,13700.0,35000.0,30.0,200900.0,214553.0,266.65,24.69,18930.0,30423.0,7.85,1.2865,23.1641,3.5603
412,2001-08-01 00:00:00,1075.67,3255301888.0,3252383744.0,1249.99,7779644928.0,8395487744.0,163.99,113.69,1550930048.0,1690102016.0,303.43,61871898624.0,55706296320.0,20.56,5.071,116.59,26.92,348500.0,469333.0,28.87,26400.0,58140.0,31.23,28800.0,35627.0,29.89,486900.0,231280.0,267.55,24.96,26061.0,30027.0,7.87,1.2737,23.254,3.5741
413,2001-08-02 00:00:00,1082.97,3844570880.0,3251370496.0,1257.32,8133514752.0,8171316736.0,165.06,113.73,2124023040.0,1692908288.0,306.95,39857278976.0,51247947776.0,20.09,5.151,116.16,27.29,290600.0,472873.0,29.05,87600.0,63120.0,31.18,8400.0,35553.0,29.87,568400.0,267060.0,268.05,26.13,36224.0,30193.0,7.91,1.2696,23.3462,3.5883
414,2001-08-03 00:00:00,1076.81,2739724032.0,3224267776.0,1249.63,6595776000.0,7998185472.0,164.19,112.61,1428496000.0,1682184832.0,306.89,29198958592.0,48780345344.0,19.89,5.157,116.14,26.9,198600.0,463453.0,28.86,10600.0,61853.0,31.09,18500.0,35160.0,29.42,203000.0,276407.0,268.55,25.69,23982.0,29590.0,7.92,1.276,23.2238,3.5695
415,2001-08-06 00:00:00,1068.05,2071136000.0,3196844800.0,1239.2,6536695808.0,7994632704.0,162.8,112.67,1054524992.0,1681235968.0,304.75,37740711936.0,47868735488.0,21.89,5.153,116.46,26.57,694500.0,494853.0,28.34,10300.0,59387.0,30.49,14600.0,28680.0,29.38,33200.0,268327.0,267.75,25.83,16894.0,30068.0,7.94,1.2909,22.9586,3.5287
416,2001-08-07 00:00:00,1070.44,2823365888.0,3168092160.0,1241.01,8711915520.0,7927383552.0,163.04,112.95,1469783040.0,1670191744.0,302.82,39918645248.0,46712143872.0,21.01,5.168,116.83,26.42,389100.0,495360.0,28.66,54300.0,62407.0,30.73,12300.0,28540.0,29.38,42700.0,263920.0,267.65,26.08,26395.0,29349.0,7.94,1.2867,23.3845,3.7008
417,2001-08-08 00:00:00,1055.56,3199531008.0,3149762816.0,1224.4,8839219200.0,7854353408.0,160.83,111.56,1571633024.0,1655746816.0,303.18,35476525056.0,43328352256.0,22.32,5.05,116.54,25.57,476900.0,501580.0,28.3,6200.0,43233.0,30.12,29100.0,29220.0,28.78,599100.0,299367.0,268.35,25.7,28479.0,28347.0,7.87,1.3081,23.0096,3.6343
418,2001-08-09 00:00:00,1050.24,3205644032.0,3108700416.0,1220.31,7191499776.0,7767950848.0,160.05,109.32,1691091968.0,1637104896.0,300.5,34633158656.0,41552039936.0,21.75,5.034,115.25,25.58,557500.0,352740.0,28.2,271600.0,51433.0,30.17,73600.0,32600.0,28.95,220100.0,274893.0,274.15,25.68,14167.0,25871.0,7.88,1.3089,22.9931,3.6259
419,2001-08-10 00:00:00,1053.9,2880694016.0,3091273728.0,1222.14,6362136064.0,7668029440.0,160.62,108.44,1492582016.0,1616957568.0,301.69,39882919936.0,40293732352.0,20.55,4.98,115.29,25.54,406100.0,366940.0,28.18,43100.0,51953.0,30.76,14200.0,30847.0,28.98,379300.0,239393.0,274.55,25.98,24753.0,25426.0,7.86,1.3016,23.115,3.6355
420,2001-08-13 00:00:00,1054.73,2335911936.0,3053496576.0,1223.65,5986220032.0,7596099072.0,160.82,108.97,1182678016.0,1592713856.0,302.85,33614448640.0,39764168704.0,20.42,4.976,115.01,25.64,179200.0,365200.0,27.86,16300.0,51680.0,30.42,9000.0,29580.0,29.12,288100.0,251067.0,275.95,25.88,25762.0,25348.0,7.86,1.3012,23.3273,3.5902
421,2001-08-14 00:00:00,1059.3,2798742016.0,3014777088.0,1230.89,8837155840.0,7627335680.0,161.46,110.33,1478525056.0,1573640960.0,305.93,36646330368.0,38217400320.0,20.48,4.966,114.38,25.31,366900.0,375300.0,27.94,160800.0,59187.0,30.42,58600.0,28720.0,29.28,80700.0,249240.0,276.75,25.99,19183.0,25035.0,7.86,1.3061,23.8867,3.4763
422,2001-08-15 00:00:00,1059.08,2486507008.0,2946919168.0,1228.22,9227679744.0,7553959424.0,161.26,109.45,1014332032.0,1517683712.0,305.69,54141988864.0,38822170624.0,20.91,5.0,113.19,24.74,262400.0,378160.0,27.7,15600.0,57207.0,30.04,9800.0,23873.0,29.72,543700.0,269453.0,275.85,25.55,29206.0,24356.0,7.86,1.317,23.6554,3.4551
423,2001-08-16 00:00:00,1055.82,3327247104.0,2942426624.0,1223.7,7356090880.0,7436556288.0,160.78,108.27,1712192000.0,1515367808.0,304.97,42250477568.0,38554415104.0,21.54,4.94,113.08,24.87,303100.0,355240.0,27.91,412300.0,82707.0,30.37,15300.0,24320.0,29.55,180600.0,267300.0,275.35,25.55,9162.0,23151.0,7.84,1.3129,23.7106,3.4686
424,2001-08-17 00:00:00,1041.46,3262134016.0,2942594048.0,1207.23,7945610752.0,7511758848.0,158.61,106.53,1810946048.0,1522245248.0,300.45,67000688640.0,40737218560.0,23.84,4.839,112.99,24.13,203100.0,344273.0,27.18,547200.0,115413.0,30.0,32400.0,24200.0,29.33,54100.0,263187.0,279.25,24.73,45433.0,24041.0,7.81,1.3357,23.3155,3.4108
425,2001-08-20 00:00:00,1042.75,2447108096.0,2930051840.0,1210.36,5641344000.0,7494088192.0,158.86,106.63,1253084032.0,1507083136.0,297.4,23178639360.0,40399163392.0,22.87,4.902,113.4,24.29,213600.0,343740.0,27.52,35200.0,115787.0,30.24,15400.0,23580.0,29.12,31900.0,260847.0,276.05,25.05,28963.0,24906.0,7.84,1.325,23.5119,3.44
426,2001-08-21 00:00:00,1040.49,2667183104.0,2889653504.0,1207.53,7254401024.0,7493260288.0,158.41,107.8,1275172992.0,1473999616.0,297.65,43374043136.0,41252446208.0,24.4,4.864,113.29,23.58,258600.0,343247.0,26.84,312800.0,134020.0,30.25,45100.0,25673.0,29.1,555300.0,284473.0,275.05,25.49,30146.0,25654.0,7.85,1.3412,23.2281,3.398
427,2001-08-22 00:00:00,1047.2,3384801024.0,2898286592.0,1211.23,9040555008.0,7577320960.0,159.43,107.35,1752909952.0,1487464960.0,298.57,40029929472.0,39796318208.0,22.44,4.894,113.27,23.82,384400.0,345640.0,26.91,169800.0,143580.0,30.2,60900.0,27813.0,29.12,210300.0,266033.0,274.55,25.34,35424.0,26278.0,7.85,1.3318,23.3898,3.4216
428,2001-08-23 00:00:00,1042.02,2986166016.0,2841059584.0,1208.57,7178343936.0,7513643008.0,158.64,107.7,1434366976.0,1441487872.0,298.25,43670806528.0,40050552832.0,22.23,4.88,113.09,23.8,346300.0,349353.0,26.77,71600.0,142513.0,30.13,11500.0,28020.0,29.38,23000.0,229673.0,275.55,25.6,31527.0,25965.0,7.81,1.3355,23.3409,3.4122
429,2001-08-24 00:00:00,1057.95,3010294016.0,2859097600.0,1227.41,8867201024.0,7665071104.0,161.1,109.31,1438477952.0,1442153344.0,298.74,87861256192.0,43961372672.0,19.71,4.922,113.33,24.96,293700.0,355693.0,27.28,23400.0,143367.0,30.34,4400.0,27080.0,29.62,98200.0,222687.0,272.85,25.95,38927.0,26961.0,7.84,1.3098,23.8001,3.4849
430,2001-08-27 00:00:00,1055.32,1658840960.0,2831611392.0,1224.99,5747239936.0,7612441088.0,160.73,109.47,413486496.0,1399417472.0,302.38,58867466240.0,45369823232.0,20.56,4.924,113.42,24.9,369400.0,334020.0,27.25,23300.0,144233.0,30.42,4200.0,26387.0,29.58,249800.0,237127.0,272.75,26.21,38927.0,28430.0,7.85,1.3162,23.6852,3.4662
431,2001-08-28 00:00:00,1041.83,2913146112.0,2837596672.0,1210.28,7730684928.0,7547025408.0,158.74,108.21,1486409984.0,1400525952.0,301.35,44724580352.0,45690216448.0,22.0,4.836,113.43,24.21,1566000.0,412480.0,27.02,65200.0,144960.0,30.28,3200.0,25780.0,29.27,99200.0,240893.0,272.25,26.47,30988.0,28736.0,7.8,1.3362,23.3332,3.4142
