Source: Hedge Fund Research Inc. Copyright 2023 HFR Inc. - www.hfr.com

Name,Ticker,Strategy,Substrategy,Region,Currency
HFRX Macro/CTA Index,HFRXM,,Macro,Global,USD
Date,Daily ROR,Index Value
02/01/2022,0.0465%,1200.47
01/31/2022,0.208%,1199.92
01/28/2022,0.0165%,1197.42
01/27/2022,0.5928%,1197.23
01/26/2022,0.4701%,1190.17
01/25/2022,0.0329%,1184.6
01/24/2022,-0.6514%,1184.21
01/21/2022,-0.8503%,1191.98
01/20/2022,-0.2494%,1202.2
01/19/2022,-0.0235%,1205.21
01/18/2022,0.1858%,1205.49
01/17/2022,0.163%,1203.26
01/14/2022,-0.2701%,1201.3
01/13/2022,-0.4401%,1204.55
01/12/2022,-0.2623%,1209.88
01/11/2022,0.0387%,1213.06
01/10/2022,-0.2572%,1212.59
01/07/2022,-0.3539%,1215.71
01/06/2022,-0.1797%,1220.03
01/05/2022,-0.1368%,1222.23
01/04/2022,0.2674%,1223.9
01/03/2022,-0.0391%,1220.64
12/31/2021,-0.0975%,1221.12
12/30/2021,0.221%,1222.31
12/29/2021,0.0507%,1219.61
12/28/2021,0.0186%,1219
12/27/2021,0.0747%,1218.77
12/24/2021,-0.0536%,1217.86
12/23/2021,0.182%,1218.51
12/22/2021,0.1514%,1216.3
12/21/2021,0.1181%,1214.46
12/20/2021,-0.1392%,1213.03
12/17/2021,0.0455%,1214.72
12/16/2021,-0.2765%,1214.17
12/15/2021,0.2334%,1217.53
12/14/2021,-0.0183%,1214.7
12/13/2021,0.0446%,1214.92
12/10/2021,-0.0415%,1214.38
12/09/2021,-0.0398%,1214.88
12/08/2021,-0.0981%,1215.37
12/07/2021,0.3597%,1216.56
12/06/2021,0.1437%,1212.2
12/03/2021,0.0431%,1210.46
12/02/2021,-0.1373%,1209.94
12/01/2021,0.0562%,1211.6
11/30/2021,-0.7047%,1210.92
11/29/2021,0.0486%,1219.52
11/26/2021,-1.8222%,1218.93
11/25/2021,0.059%,1241.55
11/24/2021,0.0827%,1240.82
11/23/2021,0.0591%,1239.79
11/22/2021,-0.0459%,1239.06
11/19/2021,-0.1794%,1239.63
11/18/2021,-0.2059%,1241.86
11/17/2021,-0.0907%,1244.42
11/16/2021,0.1405%,1245.55
11/15/2021,0.1493%,1243.8
11/12/2021,0.0703%,1241.95
11/11/2021,0.1416%,1241.07
11/10/2021,-0.0285%,1239.32
11/09/2021,-0.2085%,1239.67
11/08/2021,0.1362%,1242.26
11/05/2021,-0.1625%,1240.57
11/04/2021,-0.1283%,1242.59
11/03/2021,0.0008%,1244.19
11/02/2021,-0.2056%,1244.18
11/01/2021,0.1552%,1246.74
10/29/2021,0.109%,1244.81
10/28/2021,-0.058%,1243.46
10/27/2021,-0.3292%,1244.18
10/26/2021,0.2125%,1248.29
10/25/2021,0.0275%,1245.64
10/22/2021,-0.0804%,1245.3
10/21/2021,-0.0845%,1246.3
10/20/2021,0.0377%,1247.35
10/19/2021,0.0306%,1246.88
10/18/2021,0.2929%,1246.5
10/15/2021,0.3655%,1242.86
10/14/2021,0.2428%,1238.34
10/13/2021,-0.1711%,1235.34
10/12/2021,0.1537%,1237.45
10/11/2021,0.1025%,1235.55
10/08/2021,0.0435%,1234.29
10/07/2021,0.2015%,1233.75
10/06/2021,-0.0711%,1231.27
10/05/2021,0.2078%,1232.15
10/04/2021,-0.0786%,1229.59
10/01/2021,-0.1058%,1230.56
09/30/2021,-0.0313%,1231.86
09/29/2021,-0.1274%,1232.25
09/28/2021,-0.6302%,1233.82
09/27/2021,0.0237%,1241.65
09/24/2021,-0.0378%,1241.35
09/23/2021,0.4082%,1241.82
