Source: Hedge Fund Research Inc. Copyright 2023 HFR Inc. - www.hfr.com

Name,Ticker,Strategy,Substrategy,Region,Currency
HFRX Market Directional Index,HFRXMD,,Composite,Global,USD
Date,Daily ROR,Index Value
08/30/2022,-0.3811%,1278.05
08/29/2022,-0.043%,1282.94
08/26/2022,-0.2737%,1283.49
08/25/2022,0.1826%,1287.01
08/24/2022,0.2539%,1284.67
08/23/2022,0.2098%,1281.41
08/22/2022,-0.3101%,1278.73
08/19/2022,-0.0867%,1282.71
08/18/2022,0.0258%,1283.82
08/17/2022,-0.0931%,1283.49
08/16/2022,0.2485%,1284.69
08/15/2022,0.2922%,1281.5
08/12/2022,0.2113%,1277.77
08/11/2022,0.1933%,1275.07
08/10/2022,0.4378%,1272.61
08/09/2022,0.0254%,1267.06
08/08/2022,0.1077%,1266.74
08/05/2022,-0.0801%,1265.38
08/04/2022,0.115%,1266.39
08/03/2022,0.509%,1264.94
08/02/2022,0.1611%,1258.53
08/01/2022,0.0741%,1256.51
07/29/2022,0.4222%,1255.58
07/28/2022,0.4439%,1250.3
07/27/2022,0.5159%,1244.78
07/26/2022,-0.15%,1238.39
07/25/2022,0.0688%,1240.25
07/22/2022,0.0167%,1239.39
07/21/2022,0.3334%,1239.19
07/20/2022,0.5979%,1235.07
07/19/2022,0.613%,1227.73
07/18/2022,0.2154%,1220.25
07/15/2022,0.239%,1217.63
07/14/2022,-0.3502%,1214.72
07/13/2022,-0.295%,1218.99
07/12/2022,-0.0815%,1222.6
07/11/2022,-0.4769%,1223.6
07/08/2022,0.3551%,1229.46
07/07/2022,0.3474%,1225.11
07/06/2022,-0.4429%,1220.87
07/05/2022,-0.5182%,1226.3
07/04/2022,-0.0048%,1232.69
07/01/2022,0.0388%,1232.75
06/30/2022,-0.5501%,1232.27
06/29/2022,-0.2471%,1239.09
06/28/2022,-0.4036%,1242.16
06/27/2022,0.1367%,1247.19
06/24/2022,1.1167%,1245.49
06/23/2022,0.1126%,1231.73
06/22/2022,-0.0368%,1230.35
06/21/2022,0.0097%,1230.8
06/20/2022,0.0557%,1230.68
06/17/2022,-0.1629%,1230
06/16/2022,-0.9641%,1232
06/15/2022,0.3652%,1244
06/14/2022,-0.5156%,1239.47
06/13/2022,-2.0514%,1245.89
06/10/2022,-1.2512%,1271.99
06/09/2022,-0.6575%,1288.1
06/08/2022,0.042%,1296.63
06/07/2022,0.4457%,1296.08
06/06/2022,-0.2668%,1290.33
06/03/2022,-0.0303%,1293.79
06/02/2022,0.3913%,1294.18
06/01/2022,-0.0787%,1289.13
05/31/2022,-0.2863%,1290.15
05/30/2022,0.0444%,1293.85
05/27/2022,1.3957%,1293.28
05/26/2022,0.6165%,1275.48
05/25/2022,0.3939%,1267.66
05/24/2022,-0.204%,1262.69
05/23/2022,0.2452%,1265.27
05/20/2022,0.1486%,1262.18
05/19/2022,-0.3909%,1260.3
05/18/2022,-0.7008%,1265.25
05/17/2022,0.8519%,1274.18
05/16/2022,-0.1714%,1263.41
05/13/2022,0.3837%,1265.58
05/12/2022,-0.7658%,1260.75
05/11/2022,-0.3509%,1270.48
05/10/2022,-0.6218%,1274.95
05/09/2022,-1.1989%,1282.93
