Source: Hedge Fund Research Inc. Copyright 2023 HFR Inc. - www.hfr.com

Name,Ticker,Strategy,Substrategy,Region,Currency
HFRX ED: Merger Arbitrage Index,HFRXMA,,Merger Arbitrage,Global,USD
Date,Daily ROR,Index Value
08/25/2021,-0.0135%,1967.11
08/24/2021,0.0512%,1967.38
08/23/2021,0.2417%,1966.37
08/20/2021,0.1376%,1961.63
08/19/2021,0.0097%,1958.93
08/18/2021,0.4934%,1958.75
08/17/2021,0.1704%,1949.13
08/16/2021,0.0026%,1945.81
08/13/2021,-0.2529%,1945.76
08/12/2021,-0.0682%,1950.7
08/11/2021,0.3495%,1952.03
08/10/2021,0.2465%,1945.23
08/09/2021,0.0677%,1940.44
08/06/2021,0.203%,1939.13
08/05/2021,0.995%,1935.2
08/04/2021,-1.0973%,1916.14
08/03/2021,-0.4922%,1937.4
08/02/2021,0.0442%,1946.98
07/30/2021,0.1314%,1946.12
07/29/2021,-0.0293%,1943.56
07/28/2021,-0.3222%,1944.13
07/27/2021,-0.5125%,1950.42
07/26/2021,-0.7617%,1960.47
07/23/2021,-0.0154%,1975.51
07/22/2021,-0.1206%,1975.82
07/21/2021,0.1221%,1978.2
07/20/2021,-0.0204%,1975.79
07/19/2021,-0.0971%,1976.19
07/16/2021,0.1777%,1978.11
07/15/2021,0.2744%,1974.61
07/14/2021,0.0433%,1969.2
07/13/2021,-0.1374%,1968.35
07/12/2021,-0.1285%,1971.06
07/09/2021,0.2051%,1973.6
07/08/2021,-0.435%,1969.56
07/07/2021,-0.1648%,1978.16
07/06/2021,0.0435%,1981.43
07/05/2021,-0.0474%,1980.56
07/02/2021,0.0567%,1981.5
07/01/2021,-0.1404%,1980.38
06/30/2021,0.0198%,1983.17
06/29/2021,0.0047%,1982.77
06/28/2021,0.0679%,1982.68
06/25/2021,-0.0986%,1981.33
06/24/2021,0.0207%,1983.29
06/23/2021,-0.0813%,1982.88
06/22/2021,-0.1497%,1984.49
06/21/2021,-0.1621%,1987.47
06/18/2021,-0.006%,1990.69
06/17/2021,-0.1873%,1990.81
06/16/2021,-0.2066%,1994.55
06/15/2021,-0.0155%,1998.68
06/14/2021,-0.0834%,1998.99
06/11/2021,0.1146%,2000.66
06/10/2021,0.0487%,1998.37
06/09/2021,0.008%,1997.39
06/08/2021,0.0189%,1997.23
06/07/2021,0.1314%,1996.86
06/04/2021,0.0548%,1994.24
06/03/2021,0.0147%,1993.14
06/02/2021,-0.0199%,1992.85
06/01/2021,0.2411%,1993.25
05/31/2021,-0.0238%,1988.45
05/28/2021,0.3551%,1988.93
05/27/2021,0.0571%,1981.89
05/26/2021,-0.0564%,1980.76
05/25/2021,-0.0096%,1981.88
05/24/2021,0.0435%,1982.07
05/21/2021,0.006%,1981.2
05/20/2021,0.0748%,1981.08
05/19/2021,0.0113%,1979.6
05/18/2021,0.0828%,1979.38
05/17/2021,-0.0814%,1977.74
05/14/2021,0.0362%,1979.35
05/13/2021,0.0205%,1978.64
05/12/2021,-0.1441%,1978.23
05/11/2021,0.08%,1981.09
05/10/2021,-0.0045%,1979.5
05/07/2021,0.1561%,1979.59
05/06/2021,-0.0925%,1976.5
05/05/2021,0.0618%,1978.33
05/04/2021,-0.0854%,1977.11
05/03/2021,-0.0836%,1978.8
04/30/2021,-0.0412%,1980.46
04/29/2021,-0.0326%,1981.27
04/28/2021,0.1119%,1981.92
04/27/2021,-0.0478%,1979.7
04/26/2021,0.0923%,1980.65
04/23/2021,0.2143%,1978.82
04/22/2021,-0.0234%,1974.59
04/21/2021,0.0878%,1975.05
04/20/2021,0.1856%,1973.32
04/19/2021,0.0318%,1969.67
04/16/2021,0.2236%,1969.04
04/15/2021,-0.0452%,1964.65
04/14/2021,0.0293%,1965.54
04/13/2021,-0.0441%,1964.96
04/12/2021,0.0496%,1965.83
04/09/2021,-0.0604%,1964.85
04/08/2021,0.1048%,1966.04
04/07/2021,0.1903%,1963.98
04/06/2021,0.7217%,1960.25
04/01/2021,-0.0044%,1946.21
03/31/2021,-0.2119%,1946.29
03/30/2021,-0.0307%,1950.42
03/29/2021,-0.2233%,1951.02
03/26/2021,0.2159%,1955.39
03/25/2021,0.0458%,1951.18
03/24/2021,0.0636%,1950.28
03/23/2021,-0.1415%,1949.04
03/22/2021,-0.0508%,1951.8
03/19/2021,-0.0789%,1952.79
03/18/2021,0.086%,1954.34
03/17/2021,0.03%,1952.66
03/16/2021,-0.0297%,1952.07
03/15/2021,-0.0281%,1952.65
03/12/2021,0.0869%,1953.2
03/11/2021,0.0551%,1951.5
03/10/2021,0.1287%,1950.43
03/09/2021,0.0652%,1947.92
03/08/2021,-0.1828%,1946.65
03/05/2021,0.1858%,1950.22
03/04/2021,-0.2848%,1946.6
03/03/2021,-0.2869%,1952.16
03/02/2021,-0.305%,1957.78
03/01/2021,0.1395%,1963.77
02/26/2021,0.0437%,1961.03
02/25/2021,-0.3197%,1960.18
02/24/2021,-0.2106%,1966.46
02/23/2021,-0.3688%,1970.61
02/22/2021,-0.3861%,1977.91
02/19/2021,0.189%,1985.57
02/18/2021,0.0726%,1981.83
02/17/2021,-0.1761%,1980.39
02/16/2021,0.3716%,1983.89
02/15/2021,0.0286%,1976.54
02/12/2021,0.2986%,1975.97
02/11/2021,0.3044%,1970.09
02/10/2021,-0.1207%,1964.11
02/09/2021,-0.0192%,1966.49
02/08/2021,0.1341%,1966.86
02/05/2021,0.0475%,1964.23
02/04/2021,0.0602%,1963.3
02/03/2021,0.2654%,1962.12
02/02/2021,0.2931%,1956.92
02/01/2021,0.5123%,1951.2
01/29/2021,0.1501%,1941.26
01/28/2021,0.2966%,1938.35
01/27/2021,-0.9504%,1932.62
01/26/2021,-0.1887%,1951.16
01/25/2021,-0.0723%,1954.85
01/22/2021,0.2588%,1956.26
01/21/2021,-0.0652%,1951.21
01/20/2021,0.2085%,1952.49
01/19/2021,0.025%,1948.42
01/18/2021,0.0144%,1947.94
01/15/2021,-0.0228%,1947.66
01/14/2021,0.8005%,1948.1
01/13/2021,0.2701%,1932.63
01/12/2021,0.2962%,1927.42
01/11/2021,0.4024%,1921.73
01/08/2021,0.2259%,1914.03
01/07/2021,0.2586%,1909.71
01/06/2021,0.1277%,1904.79
01/05/2021,-0.0159%,1902.36
01/04/2021,-0.0021%,1902.66
12/31/2020,-0.0889%,1902.7
12/30/2020,0.055%,1904.39
12/29/2020,-0.0588%,1903.35
12/28/2020,0.166%,1904.47
12/24/2020,0.1543%,1901.31
12/23/2020,0.144%,1898.38
12/22/2020,0.2091%,1895.65
12/21/2020,-0.0279%,1891.7
12/18/2020,0.1611%,1892.23
12/17/2020,0.0583%,1889.18
12/16/2020,0.1396%,1888.08
12/15/2020,-0.033%,1885.45
12/14/2020,0.0595%,1886.07
12/11/2020,0.1511%,1884.95
12/10/2020,-0.067%,1882.11
