Source: Hedge Fund Research Inc. Copyright 2023 HFR Inc. - www.hfr.com

Name,Ticker,Strategy,Substrategy,Region,Currency
HFRX EH: Equity Market Neutral Index,HFRXEMN,,Equity Market Neutral,Global,USD
Date,Daily ROR,Index Value
03/21/2022,0.0481%,927.98
03/18/2022,-0.0864%,927.54
03/17/2022,0.1006%,928.34
03/16/2022,-0.2094%,927.41
03/15/2022,0.0579%,929.35
03/14/2022,0.1961%,928.81
03/11/2022,0.0121%,927
03/10/2022,0.0617%,926.88
03/09/2022,-0.1142%,926.31
03/08/2022,-0.1346%,927.37
03/07/2022,-0.0874%,928.62
03/04/2022,0.0216%,929.43
03/03/2022,0.0732%,929.23
03/02/2022,-0.1835%,928.55
03/01/2022,0.038%,930.26
02/28/2022,-0.0192%,929.91
02/25/2022,0.0391%,930.09
02/24/2022,0.0443%,929.72
02/23/2022,0.0669%,929.31
02/22/2022,0.0559%,928.69
02/21/2022,-0.009%,928.17
02/18/2022,0.0303%,928.25
02/17/2022,0.0932%,927.97
02/16/2022,-0.1291%,927.11
02/15/2022,-0.1368%,928.31
02/14/2022,-0.055%,929.58
02/11/2022,0.0344%,930.09
02/10/2022,0.0246%,929.77
02/09/2022,-0.0631%,929.54
02/08/2022,-0.079%,930.13
02/07/2022,0.056%,930.86
02/04/2022,0.0325%,930.34
02/03/2022,-0.0229%,930.04
02/02/2022,-0.1251%,930.25
02/01/2022,0.1089%,931.42
01/31/2022,-0.044%,930.41
01/28/2022,0.0704%,930.81
01/27/2022,-0.0238%,930.16
01/26/2022,0.0399%,930.38
01/25/2022,0.0509%,930.01
01/24/2022,-0.0573%,929.54
01/21/2022,-0.058%,930.07
01/20/2022,-0.1038%,930.61
01/19/2022,0.0496%,931.58
01/18/2022,0.0956%,931.11
01/17/2022,0.2205%,930.23
01/14/2022,0.0356%,928.18
01/13/2022,-0.0153%,927.85
01/12/2022,0.0046%,927.99
01/11/2022,0.0817%,927.95
01/10/2022,-0.2267%,927.19
01/07/2022,0.1787%,929.3
01/06/2022,0.0939%,927.64
01/05/2022,0.0183%,926.77
01/04/2022,0.1457%,926.6
01/03/2022,-0.0811%,925.25
12/31/2021,-0.0574%,926
12/30/2021,0.1548%,926.53
12/29/2021,0.0263%,925.1
12/28/2021,0.0154%,924.86
12/27/2021,-0.0255%,924.72
12/24/2021,-0.0304%,924.95
12/23/2021,0.0418%,925.23
12/22/2021,-0.0101%,924.85
12/21/2021,0.0238%,924.94
12/20/2021,-0.0253%,924.72
12/17/2021,0.0843%,924.96
12/16/2021,-0.0009%,924.18
12/15/2021,-0.0164%,924.19
12/14/2021,0.1291%,924.34
12/13/2021,0.0991%,923.15
12/10/2021,-0.0032%,922.23
12/09/2021,-0.0104%,922.26
12/08/2021,0.1338%,922.36
12/07/2021,-0.0668%,921.12
12/06/2021,0.1703%,921.74
12/03/2021,0.0719%,920.17
12/02/2021,0.311%,919.51
12/01/2021,0.1626%,916.66
11/30/2021,-0.0894%,915.17
11/29/2021,-0.0021%,915.99
11/26/2021,-0.1736%,916.01
11/25/2021,-0.0876%,917.6
11/24/2021,-0.1344%,918.41
11/23/2021,0.1327%,919.64
11/22/2021,-0.0214%,918.42
11/19/2021,-0.0946%,918.62
11/18/2021,0.0639%,919.49
11/17/2021,-0.0426%,918.9
11/16/2021,0.0957%,919.3
11/15/2021,-0.1208%,918.42
11/12/2021,0.1458%,919.53
11/11/2021,-0.0917%,918.19
11/10/2021,0.0198%,919.03
11/09/2021,0.0014%,918.85
11/08/2021,0.0239%,918.84
11/05/2021,-0.096%,918.62
11/04/2021,-0.0001%,919.5
11/03/2021,0.1355%,919.5
11/02/2021,0.0187%,918.26
11/01/2021,0%,918.08
10/29/2021,-0.0898%,918.08
10/28/2021,-0.1814%,918.91
10/27/2021,-0.1051%,920.58
10/26/2021,-0.0012%,921.55
10/25/2021,-0.0421%,921.56
10/22/2021,-0.1084%,921.95
10/21/2021,-0.1913%,922.95
10/20/2021,-0.0358%,924.72
10/19/2021,0.0843%,925.05
10/18/2021,-0.1566%,924.27
10/15/2021,-0.0683%,925.72
10/14/2021,-0.0167%,926.35
10/13/2021,-0.3635%,926.51
10/12/2021,-0.1848%,929.89
10/11/2021,-0.0156%,931.61
10/08/2021,0.0592%,931.75
10/07/2021,-0.0297%,931.2
10/06/2021,0.0324%,931.48
10/05/2021,0.0365%,931.18
10/04/2021,0.0736%,930.84
10/01/2021,0.0943%,930.15
09/30/2021,0.0578%,929.28
09/29/2021,-0.0427%,928.74
09/28/2021,0.1125%,929.14
09/27/2021,0.1316%,928.09
09/24/2021,0.0256%,926.87
09/23/2021,0.0045%,926.63
09/22/2021,0.0102%,926.59
09/21/2021,-0.1044%,926.5
09/20/2021,0.0191%,927.47
