Dates,AAPL,MSFT,GOOG,AMZN
2020-10-21,115.476028,211.079117,79.665497,159.246994
2020-10-22,114.369392,211.167587,80.766502,158.820007
2020-10-23,113.66787,212.484344,82.050003,160.220001
2020-10-26,113.67775,206.440872,79.522499,160.352005
2020-10-27,115.209251,209.555969,80.212997,164.316498
2020-10-28,109.873657,199.169083,75.831001,158.139008
2020-10-29,113.944534,201.173737,78.362,160.550507
2020-10-30,107.561584,198.962723,81.050499,151.807495
2020-11-02,107.472649,198.825134,81.301498,150.223999
2020-11-03,109.122734,202.854095,82.510498,152.420502
2020-11-04,113.578934,212.641556,87.456497,162.057999
2020-11-05,117.610268,219.422028,88.168503,166.100006
2020-11-06,117.476669,219.844604,88.087502,165.568497
2020-11-09,115.130882,214.606934,88.150002,157.186996
2020-11-10,114.78447,207.354736,87.019501,151.751007
2020-11-11,118.268471,212.798798,87.635498,156.869507
2020-11-12,117.991348,211.708008,87.491997,155.514008
2020-11-13,118.040833,212.759491,88.850998,156.440506
2020-11-16,119.070206,213.467026,89.069,156.552994
2020-11-17,118.16951,210.74501,88.5075,156.783005
2020-11-18,116.82341,207.966614,87.338997,155.272995
2020-11-19,117.427177,209.286835,88.195999,155.850998
2020-11-20,116.140457,207.286789,87.109497,154.970001
2020-11-23,112.686142,207.01091,86.742996,154.919495
2020-11-24,113.992645,210.705597,88.444,155.903
2020-11-25,114.843857,210.715439,88.571503,159.253494
2020-11-27,115.398117,212.055389,89.6595,159.766998
2020-11-30,117.832985,210.912506,88.037003,158.401993
2020-12-01,121.465454,213.02095,89.904999,161.003998
2020-12-02,121.821785,212.193344,91.397499,160.176498
2020-12-03,121.683212,211.080002,91.338501,159.336502
2020-12-04,121.000259,211.198242,91.399498,158.128998
2020-12-07,122.48494,211.129242,90.973999,157.899994
2020-12-08,123.108498,212.823883,90.927498,158.864502
2020-12-09,120.535072,208.675964,89.206497,155.210007
2020-12-10,121.980148,207.414856,88.766502,155.074493
2020-12-11,121.158638,210.114441,89.088501,155.820999
2020-12-14,120.535072,211.040588,88.002998,157.848495
2020-12-15,126.572701,210.971588,88.388496,158.255997
2020-12-16,126.503433,216.045654,88.150002,162.048004
2020-12-17,127.384331,216.183594,87.394997,161.804001
2020-12-18,125.365181,215.36586,86.550499,160.082504
2020-12-21,126.919128,219.306824,86.968498,160.309006
2020-12-22,130.531815,220.636917,86.175003,160.326004
2020-12-23,129.621216,217.759979,86.619003,159.263504
2020-12-24,130.620895,219.464462,86.942497,158.634506
2020-12-28,135.292664,221.641846,88.804497,164.197998
2020-12-29,133.491257,220.843811,87.935997,166.100006
2020-12-30,132.353012,218.410233,86.975998,164.292496
2020-12-31,131.333542,219.139313,87.594002,162.846497
2021-01-04,128.087082,214.479095,86.412003,159.331497
2021-01-05,129.6707,214.685989,87.045998,160.925507
2021-01-06,125.305794,209.119339,86.764503,156.919006
2021-01-07,129.581619,215.070251,89.362503,158.108002
2021-01-08,130.700104,216.380661,90.360497,159.134995
2021-01-11,127.661461,214.282059,88.335999,155.710495
2021-01-12,127.483299,211.759827,87.327499,156.041504
2021-01-13,129.551956,213.149033,87.720001,158.294495
2021-01-14,127.592171,209.877975,87.009003,156.373505
2021-01-15,125.840279,209.513428,86.809502,155.212494
2021-01-19,126.523224,213.247543,89.542999,156.037994
2021-01-20,130.680298,221.031006,94.345001,163.169006
2021-01-21,135.47081,221.651733,94.5625,165.349503
2021-01-22,137.648331,222.617249,95.052498,164.611496
2021-01-25,141.458954,226.14447,94.970001,164.699997
2021-01-26,141.696503,228.903183,95.862,166.306503
2021-01-27,140.607758,229.464767,91.539497,161.628998
2021-01-28,135.688538,235.405823,93.155502,161.880997
2021-01-29,130.611008,228.538651,91.787003,160.309998
2021-02-01,132.768723,236.115204,95.067497,167.143997
2021-02-02,133.610031,235.977249,96.375504,169.0
2021-02-03,132.57077,239.415802,103.503502,165.626495
2021-02-04,135.985474,238.440384,103.1185,166.550003
2021-02-05,135.564194,238.627594,104.900002,167.607498
2021-02-08,135.712906,238.8936,104.6455,166.147003
2021-02-09,134.82077,240.174438,104.175499,165.25
2021-02-10,134.206192,239.238449,104.768997,164.328995
2021-02-11,133.948441,240.88382,104.794502,163.106506
2021-02-12,134.186371,241.376419,105.205498,163.885498
2021-02-16,132.025421,240.105438,106.095001,163.447495
2021-02-17,129.695984,241.152206,106.415497,165.432007
2021-02-18,128.575851,240.74733,105.860001,166.411499
2021-02-19,128.734451,237.962555,105.056999,162.494995
2021-02-22,124.898293,231.583145,103.244003,159.037003
2021-02-23,124.759514,230.358643,103.542999,159.725006
2021-02-24,124.253983,231.622665,104.758499,157.976501
2021-02-25,119.932098,226.13205,101.568001,152.858002
2021-02-26,120.199738,229.479767,101.843002,154.6465
2021-03-01,126.672638,233.982834,104.0755,157.307007
2021-03-02,124.025986,230.951157,103.792,154.726501
2021-03-03,120.992744,224.71991,101.335503,150.25
2021-03-04,119.079605,223.900253,102.454498,148.878494
2021-03-05,120.35833,228.709488,105.427002,150.022995
2021-03-08,115.342583,224.552017,101.208504,147.597504
2021-03-09,120.031212,230.862274,102.635002,153.142502
2021-03-10,118.930939,229.519257,102.751503,152.882004
2021-03-11,120.893616,234.170471,105.738503,155.679504
2021-03-12,119.971741,232.807693,103.096001,154.474503
2021-03-15,122.905869,231.87941,103.324501,154.084
2021-03-16,124.472054,234.743225,104.625999,154.593002
2021-03-17,123.669136,234.081589,104.554001,156.786499
2021-03-18,119.476112,227.840469,101.810997,151.399506
2021-03-19,118.940842,227.475098,102.160004,153.748001
2021-03-22,122.311111,233.044693,101.929497,155.543503
2021-03-23,121.468552,234.614853,102.648003,156.875
2021-03-24,119.039955,232.521301,102.252998,154.3535
2021-03-25,119.535591,229.440262,102.218002,152.313004
2021-03-26,120.150169,233.52858,101.777496,152.601501
2021-03-29,120.328598,232.304031,102.797501,153.786499
2021-03-30,118.851616,228.95636,102.777,152.764496
2021-03-31,121.081963,232.827454,103.431503,154.703995
2021-04-01,121.924522,239.325333,106.887497,158.050003
2021-04-05,124.799156,245.961472,111.277496,161.336502
2021-04-06,125.106461,244.766556,111.237503,161.190994
2021-04-07,126.781677,246.781097,112.484001,163.969498
2021-04-08,129.220169,250.089279,113.272003,164.964996
2021-04-09,131.837082,252.65683,114.293999,168.610001
2021-04-12,130.092484,252.716064,112.739502,168.969498
2021-04-13,133.254578,255.263855,113.363503,170.0
2021-04-14,130.875565,252.40007,112.741997,166.649994
2021-04-15,133.323975,256.261261,114.833,168.954498
2021-04-16,132.986938,257.485779,114.888,169.972
2021-04-19,133.661011,255.510773,115.120003,168.600494
2021-04-20,131.946106,255.036743,114.681503,166.734497
2021-04-21,132.332703,257.327759,114.664497,168.100998
2021-04-22,130.786346,253.960373,113.396004,165.451996
2021-04-23,133.145554,257.890717,115.764999,167.044006
2021-04-26,133.542053,258.285706,116.336998,170.449997
2021-04-27,133.21492,258.700439,115.356003,170.871506
2021-04-28,132.412003,251.382919,118.995499,172.925003
2021-04-29,132.312881,249.35849,121.494499,173.565506
2021-04-30,130.310547,249.032623,120.505997,173.371002
